Startup Name,Industry,Amount Invested lakhs,Equity Taken %,Partners,Valuation Requested lakhs,Season
EduSpark_88,E-commerce,40,7.63,Peyush,3295,3
MediCare_89,Food,491,12.05,Peyush,2043,2
EduSpark_90,E-commerce,28,19.85,Anupam,3373,3
TechNova_91,Fashion,304,19.0,Vineeta,4481,1
EduSpark_92,Finance,211,1.57,Vineeta,2817,1
FinSmart_93,Travel,305,4.67,Peyush,4957,2
Foodify_94,Healthcare,261,11.0,Ashneer,3521,2
HealthPlus_95,E-commerce,90,10.0,Anupam,347,2
StyleHub_96,Food,228,6.66,Aman,109,3
EduSpark_97,Finance,119,14.97,Aman,81,3
EduSpark_98,Fashion,93,21.77,Aman,3314,3
Foodify_99,Finance,180,18.14,Aman,392,1
TechNova_100,Finance,298,20.07,Anupam,4727,1
